name,status,duration_sec,model_type,dnn_variant,feature_type,use_delta,use_delta_delta,use_cmvn,context_size,feature_dim,acc,auc,eer,precision,recall,F1,FAR,FRR,best_threshold,source_log
dnn_bn_dropout__fbank,success,1892.8778,dnn,bn_dropout,fbank,False,False,True,1,40,0.9692515971976312,0.9913297632347299,0.03731579394846621,0.9827161255408083,0.9769565599166938,0.9798278739183772,0.07667334220640623,0.023043440083292243,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/dnn_bn_dropout__fbank/task2_dev.jsonl
dnn_bn_dropout__fbank_delta,success,3546.9489,dnn,bn_dropout,fbank,True,False,True,1,40,0.9804453593879696,0.9960496785713089,0.0260135949745704,0.9863082417353225,0.9892762216173059,0.987789997233661,0.0612802109636373,0.010723778382680125,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/dnn_bn_dropout__fbank_delta/task2_dev.jsonl
dnn_bn_dropout__fbank_delta_deltadelta,success,3027.2822,dnn,bn_dropout,fbank,True,True,True,1,40,0.9810932335295933,0.9963391148738512,0.02475082616579625,0.9879707061968487,0.9884664327896042,0.9882185023245775,0.05370492455810495,0.011533567210381861,0.4199999272823334,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/dnn_bn_dropout__fbank_delta_deltadelta/task2_dev.jsonl
dnn_bn_dropout__mfcc,success,3155.9491,dnn,bn_dropout,mfcc,False,False,True,1,40,0.9660611871012699,0.9895135627189895,0.039735403939671426,0.9822497608732208,0.9732811500395002,0.9777448841795949,0.07848320127373785,0.026718849960485836,0.3899999260902405,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/dnn_bn_dropout__mfcc/task2_dev.jsonl
dnn_bn_dropout__mfcc_delta,success,2315.0003,dnn,bn_dropout,mfcc,True,False,True,1,40,0.979379612118093,0.9955030474088413,0.02665055451718606,0.9859351342182364,0.9883646865169325,0.9871484104770213,0.06291592551589921,0.011635313483053508,0.3899999260902405,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/dnn_bn_dropout__mfcc_delta/task2_dev.jsonl
dnn_mlp__fbank,success,3027.1557,dnn,mlp,fbank,False,False,True,1,40,0.969325607424706,0.9914027927960153,0.037261436350737524,0.9828798292470381,0.9768603887822508,0.9798608595079005,0.0759270085703932,0.023139611217735306,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/dnn_mlp__fbank/task2_dev.jsonl
dnn_mlp__fbank_delta,success,3588.9966,dnn,mlp,fbank,True,False,True,1,40,0.9806059046497779,0.996088892581845,0.02590348599455588,0.9866232173789599,0.9891465996534914,0.9878832921296117,0.0598435187143122,0.01085340034649469,0.3899999260902405,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/dnn_mlp__fbank_delta/task2_dev.jsonl
dnn_mlp__fbank_delta_deltadelta,success,4260.3749,dnn,mlp,fbank,True,True,True,1,40,0.9814359578118933,0.99638348370537,0.024697862352624705,0.9873076008361324,0.989429537918592,0.9883674254760711,0.05675867301879164,0.010570462081394083,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/dnn_mlp__fbank_delta_deltadelta/task2_dev.jsonl
dnn_mlp__mfcc,success,3353.2164,dnn,mlp,mfcc,False,False,True,1,40,0.9660088106328786,0.9893531672047124,0.04009221278630077,0.9828927715936172,0.972246961898098,0.9775408783280609,0.07551030562361924,0.02775303810188805,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/dnn_mlp__mfcc/task2_dev.jsonl
dnn_mlp__mfcc_delta,success,3736.8961,dnn,mlp,mfcc,True,False,True,1,40,0.979224759950675,0.9952617536043483,0.027491006605145016,0.986476983299179,0.9873541927130018,0.9869153880815291,0.060397049494355204,0.012645807286984246,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/dnn_mlp__mfcc_delta/task2_dev.jsonl
gmm__fbank,success,401.3998,gmm,mlp,fbank,False,False,True,1,40,0.9310725675969562,0.9607715011425441,0.07345244616158701,0.9818006264971294,0.9283009348112895,0.954301544028658,0.07678529225180819,0.07169906518869652,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/gmm__fbank/task2_dev.jsonl
gmm__fbank_delta,success,1572.3379,gmm,mlp,fbank,True,False,True,1,40,0.945333769044824,0.9709629586664039,0.04982361656429319,0.9909201386592694,0.9398818906966143,0.9647264447298008,0.03842996280770475,0.0601181093033717,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/gmm__fbank_delta/task2_dev.jsonl
gmm__fbank_delta_deltadelta,success,5470.8575,gmm,mlp,fbank,True,True,True,1,40,0.9561324304844709,0.9699253542028967,0.04657749233070047,0.988535911204097,0.9560679107587491,0.9720308556431506,0.04947570062069773,0.04393208924123701,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/gmm__fbank_delta_deltadelta/task2_dev.jsonl
gmm__mfcc,success,1201.0241,gmm,mlp,mfcc,False,False,True,1,40,0.9331494084305619,0.969179373919433,0.0718412312135264,0.9770094431459796,0.9386246970260688,0.9574324956382103,0.09855957608248861,0.06137530297391725,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/gmm__mfcc/task2_dev.jsonl
gmm__mfcc_delta,success,1392.4355,gmm,mlp,mfcc,True,False,True,1,40,0.9607142328498378,0.979138366801848,0.04939572470524941,0.9821769780430859,0.9686203344804045,0.9753515467823195,0.07843344569800365,0.03137966551958154,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_cards4567_final/gmm__mfcc_delta/task2_dev.jsonl
